1.51 0.08 0.0 0.007968871 0.007320342 0.0065499597 0.0056289599 0.0045226648 0.0031658222 0.0013852216 -0.0012375447 -0.0057061438 -2.555326797
1.51 0.08 0.001 0.0079701003 0.0073182375 0.0065458538 0.0056299323 0.0045223391 0.0031662638 0.0013887105 -0.0012345364 -0.0057001937 -2.5553353515
1.51 0.08 0.002 0.0079672582 0.0073200699 0.0065461153 0.0056284609 0.0045250698 0.0031654165 0.0013851934 -0.001240592 -0.005714988 -2.5553106484
1.51 0.08 0.003 0.0079677463 0.007318963 0.0065459739 0.0056277699 0.0045237855 0.0031654606 0.0013896432 -0.0012338426 -0.0057058907 -2.5553282534
1.51 0.08 0.004 0.0079691297 0.0073212908 0.0065481604 0.0056287352 0.004523792 0.0031659316 0.0013853581 -0.0012358191 -0.0057055326 -2.5553296905
1.51 0.08 0.005 0.007970389 0.007318474 0.0065455529 0.0056292547 0.0045219615 0.0031646957 0.0013856506 -0.0012380886 -0.0057039213 -2.5553226129
1.51 0.08 0.006 0.0079689804 0.0073207806 0.006546782 0.0056311349 0.0045251718 0.0031687158 0.0013875533 -0.0012304764 -0.0056952057 -2.555352081
1.51 0.08 0.007 0.0079701429 0.0073224485 0.006546891 0.0056276343 0.0045272247 0.0031664955 0.0013897984 -0.0012352661 -0.00569804 -2.5553459735
1.51 0.08 0.008 0.0079695981 0.0073204643 0.0065488847 0.0056298215 0.0045254589 0.0031666626 0.0013862377 -0.0012327672 -0.0057050087 -2.5553379962
1.51 0.08 0.009 0.0079681592 0.0073176135 0.0065474097 0.005628331 0.0045255282 0.0031695061 0.0013838048 -0.0012334805 -0.0057070149 -2.5553285015
1.51 0.08 0.01 0.0079697013 0.0073169727 0.0065457728 0.0056283112 0.0045246984 0.0031642817 0.0013888653 -0.0012343761 -0.0056960356 -2.5553368361
1.51 0.08 0.011 0.0079678294 0.0073176165 0.0065482368 0.0056292131 0.0045250264 0.0031648778 0.0013846097 -0.0012312831 -0.005703642 -2.5553311289
1.51 0.08 0.012 0.0079685581 0.0073225481 0.0065493786 0.0056292694 0.0045240569 0.0031649559 0.0013859474 -0.0012376697 -0.005701231 -2.555334458
1.51 0.08 0.013 0.0079712672 0.0073231529 0.006549666 0.0056314754 0.0045242162 0.0031640093 0.0013892662 -0.0012317941 -0.0056892728 -2.5553606307
1.51 0.08 0.014 0.0079696418 0.0073180884 0.0065481472 0.0056290156 0.0045252131 0.0031640824 0.0013881989 -0.0012357333 -0.0056978633 -2.555337435
1.51 0.08 0.015 0.0079671203 0.0073180494 0.0065465077 0.0056284534 0.0045241659 0.0031658572 0.0013878377 -0.0012398243 -0.0057144461 -2.5553123655
1.51 0.08 0.016 0.0079660947 0.0073187478 0.0065447649 0.0056268871 0.0045218545 0.0031623943 0.0013803317 -0.0012398559 -0.0057016729 -2.5553081907
1.51 0.08 0.017 0.0079664887 0.0073180902 0.0065461709 0.0056254094 0.0045203429 0.0031608189 0.0013819038 -0.0012364507 -0.0057009978 -2.5553104206
1.51 0.08 0.018 0.0079668714 0.0073186763 0.0065466167 0.0056275684 0.0045242596 0.0031643553 0.0013850729 -0.0012370322 -0.0057055716 -2.5553194612
1.51 0.08 0.019 0.0079678174 0.0073184108 0.0065470127 0.0056252426 0.0045228598 0.0031599963 0.0013878664 -0.0012359018 -0.0057126927 -2.5553092558
1.51 0.08 0.02 0.0079640421 0.0073144888 0.0065440992 0.0056219546 0.0045212237 0.0031615174 0.0013837861 -0.0012418523 -0.0057057369 -2.555292167
1.51 0.08 0.021 0.0079665362 0.0073206948 0.0065470046 0.0056282442 0.0045231195 0.00316368 0.001383419 -0.0012373283 -0.0057000755 -2.5553239389
